channelId,channelTitle,channelDescription,channelTotalView,channelVideoCount,channelSubscribers,keywords,channelThumbnail,channelTopics
UC-Rr7zYKnRqa_aEDn1KjVkw,김배우,세계적인 무명배우 김배우 입니다 비즈니스 광고문의 pepper_n_salt@naver.com.,3968884,218,30500,,https://yt3.ggpht.com/ytc/AIdro_mdXKdXgKHes4K7zYDeF4N-L5-P87Fbe8Yp-LQLlmeAkA=s88-c-k-c0xffffffff-no-rj-mo,라이프스타일 (상위 주제) 패션
UC-TpIlGwLbmJuxWacteqZHQ,코비엣TV[공포썰 공포라디오],여러분의 이야기를 전해드립니다. 여러분이 보고 겪은 다양한 이야기를 다양한 콩포 컨텐츠로 만들고 있습니다. 1인칭으로 여러분들의 ...,61087607,1634,117000,무서운이야기 공포썰 공포실화 귀신 실화 코비엣TV 공포채널 공포라디오 흉가체험 괴담속으로 무서운이야기 실화 무서운이야기실화 흉가 괴담 납량특집,https://yt3.ggpht.com/sr5989tKhiK9c2WzRPkkFZ_pJ2v7VzXGkUkEClIY6olBUMbVoJHLaYb0HEx8u-DMNy-0Tfh9QQ=s88-c-k-c0xffffffff-no-rj-mo,사회 (상위 주제)
UC-xcq4Aouc38EnwE_AesrmQ,JGASMR,Because I like listening to ASMR I started making ASMR myself. This is JGASMR! E-mail: jgasmr.biz@gmail.com Instagram ...,94064789,307,348000,JGASMR ASMR jg asmr Coromo asmr Vito asmr,https://yt3.ggpht.com/By3ngoCTM7mowNbttbOCdwzhHAdPQPjz_dXVjtDE_Fri1ktGZd5fDfDkQJVJ3rl1vjKvJmrd=s88-c-k-c0xffffffff-no-rj-mo,라이프스타일 (상위 주제)
UC-YRx5jfreS9abTGxfmV4Hg,칩chip,가끔 시간 날 때마다 취미로 영상 올리는 칩chip입니다. 이메일 shgb6113@gmail.com.,260806080,39,1440000,,https://yt3.ggpht.com/ytc/AIdro_lv94ELDEuY7MtXfXQ7eqH7IkqK9MRrkBAaE_Ej5YZ7etw=s88-c-k-c0xffffffff-no-rj-mo,음식 라이프스타일 (상위 주제)
UC0-yyrDjTJ1YFzmV12vEp0Q,시네 si-ne,친근하게 옆자리를 채워주는 그런 사람 비즈니스 문의 : sine@shortt.kr.,109900705,253,280000,,https://yt3.ggpht.com/UC6iw3TMPe4chwJJ_0abSoNJxy_rEGnYBnROifWHl0mN4IbHKf8PErj66jH9a_k20fh31kDK=s88-c-k-c0xffffffff-no-rj-mo,라이프스타일 (상위 주제)
UC005BPECU5QAR2JVItQOswg,띠예,안녕하세요. 띠예입니댜♡ Mail : ace.hwa@gmail.com instagram : jiye2_009.,96710477,56,657000,,https://yt3.ggpht.com/ytc/AIdro_nroeiLBC-shMUpnCIfXfQtPnL5g8l2RCjzMyOVn6CYFMw=s88-c-k-c0xffffffff-no-rj-mo,음식 라이프스타일 (상위 주제)
UC0A-aWmSNZd050EfsraByKw,하디 선물추천,빠르게 물건만 추천하고 빠지는게 목표입니다.,11262886,204,24600,패션 코디,https://yt3.ggpht.com/uhGj8P-X4oGGQBCkfbjnFt-v-iHwYlkmIdUKmAK3pKQU3iSVImHSTZ9uHBIVLfF4gP92bp5U4Q=s88-c-k-c0xffffffff-no-rj-mo,라이프스타일 (상위 주제) 패션
UC0aKwoKNeqBaUwiEXmkQaGQ,케인 TV,케인TV 유튜브 공식 채널입니다. [케인TV 방송국] https://ch.sooplive.co.kr/udkn.,495410708,4987,355000,아프리카 게임 케인tv 케인티비 수능 bj 스팀 다음팟 스트리머 트위치 킹오브,https://yt3.ggpht.com/ytc/AIdro_lnBQY6a5utkvwmOgEZf6NLTZdRMXQgMsrcak4ugKLfTO4=s88-c-k-c0xffffffff-no-rj-mo,액션 게임 게임 (상위 주제)
UC0asDkei6mvw2YXcq6had8g,도화도르- 사주팔자 쉽게 풀어주는 남자,"혼자서도 쉽고 재밌게 보는 내 사주, 평생 잘 보실 수 있도록 도와드려요✨ 저는 사주명리가 무당이나 용한 철학관에서 다루는 심오 ...",38505623,307,226000,사주 사주팔자 사주명리학 사주풀이 명리학 사주명리 무당 관상 사주팔자 보는 법 사주 보는 법 mbti 심리 인간관계 부자 재물 연애 운세 타로,https://yt3.ggpht.com/FNGzzMrb1-uEPygRxoj9twbsFLz8Xner-JJmv9Bq4J3LZScrKbAD7fcQhf_JZ5WqHRpsPuhS_w=s88-c-k-c0xffffffff-no-rj-mo,지식
UC0bz3PC653OuGTU5FRTwLfA,0HB0Y,,2044064,18,66900,ASMR,https://yt3.ggpht.com/-s2ayMsFwMXiP5bPR9s08VHOccL_ehgyzN6EwqpKZECEqJLpj69b39YqGAxPI73_SrVj6o6m=s88-c-k-c0xffffffff-no-rj-mo,음식 라이프스타일 (상위 주제)
UC0Crj7Xg6gmI4M_Y36x6kOg,대박난박약사,대박클럽 가입문의 070-7433-2000.,19412008,773,122000,지유TV 대박난박약사 주식 주식유튜버 대박,https://yt3.ggpht.com/ytc/AIdro_lUjHgLCcCOeXhnmG1S15i-Q4mTyt-fTDqV-T7jvmH-1w=s88-c-k-c0xffffffff-no-rj-mo,지식
UC0gwvfFwvPxoFk4rwPBiKWw,치킨왕 ,뒷광고 절대없는 치킨리뷰. - 광고영상은 '유료광고 포함' 을 반드시 표시합니다 - 문의 : a631888@naver.com 즐겨 먹는 치킨이나 ...,10986855,323,21600,치킨 치킨리뷰 치킨신메뉴 신메뉴 bbq bhc 교촌치킨 맘스터치,https://yt3.ggpht.com/1NS6-K7-PfqNTlfblhJ2wO3oTgVamyvRvD06YsmW54zviR6UKSGi64AjPS07HgYLzPSMNKDg=s88-c-k-c0xffffffff-no-rj-mo,음식 라이프스타일 (상위 주제)
UC0he98dZ-WMKTKjfGpowILw,만약에...? | 당신의 상상이 실현되는 채널,"이 채널은 여러분의 입맛대로, 상상대로 영화와 밈들의 이야기를 바꿔버립니다. I8MMV3@AICOMPANY · 비즈니스 문의: ...",50269989,195,57200,딥페이크 마블 마블 스튜디오 병맛편집 어벤져스 DC 마동석,https://yt3.ggpht.com/YwOs6XwUsmP_c6QK8FDJbXwSTTJbdIa9Q3iOAKWhjIoy2NAKVvMRXycYgZZLncVV_zMGSal2=s88-c-k-c0xffffffff-no-rj-mo,엔터테인먼트 (상위 주제) 영화
UC0htUSwcxfSGNfK_5Q28JkA,1분요리 뚝딱이형,한국인이 좋아하는 편집속도에 맞춘 1분요리 영상을 업로드합니다.,1737515945,1590,2920000,요리 먹방 음식 food 떡볶이 한식,https://yt3.ggpht.com/eRa3Cs-xC1xkUkby4-sJpZ5ewoUMoPq3mBntjAO8Y-I0D_U34dSceqjirMM2bGJuEWpLJMzu=s88-c-k-c0xffffffff-no-rj-mo,라이프스타일 (상위 주제) 음식
